antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Phones', 'Paper'})",frozenset({'Binders'}),0.0349371131962467,0.2627270912357756,0.0107805949291275,0.3085714285714286,1.1744941380807643,1.0,0.0016016688029026,1.0663037936672668,0.153948114436323,0.0375782881002087,0.062180960117597,0.1748024316109422
frozenset({'Fasteners'}),frozenset({'Paper'}),0.0429227390696745,0.2377720103813136,0.011778798163306,0.2744186046511628,1.1541249292171911,1.0,0.0015729722036369,1.0505065241539586,0.1395317593319333,0.0438010393466963,0.0480782584331258,0.1619784039208794
"frozenset({'Phones', 'Binders'})",frozenset({'Paper'}),0.0397284887203034,0.2377720103813136,0.0107805949291275,0.271356783919598,1.1412478007164286,1.0,0.0013342722966896,1.0460922064421971,0.128886578886579,0.0404191616766467,0.0440613228531342,0.1583484171487159
"frozenset({'Storage', 'Paper'})",frozenset({'Binders'}),0.0355360351367538,0.2627270912357756,0.0105809542822918,0.297752808988764,1.133315972815136,1.0,0.0012446751367602,1.0498766220802556,0.1219677944720222,0.0367800138792505,0.0475071270578713,0.1690131826098835
"frozenset({'Storage', 'Binders'})",frozenset({'Paper'}),0.0397284887203034,0.2377720103813136,0.0105809542822918,0.2663316582914573,1.1201135821846429,1.0,0.0011346316498539,1.0389271913295792,0.1116698701604362,0.0396409872849663,0.0374686423210868,0.1554160390533692
frozenset({'Fasteners'}),frozenset({'Binders'}),0.0429227390696745,0.2627270912357756,0.0123777201038131,0.2883720930232558,1.097610800876511,1.0,0.0011007537201653,1.0360370940150867,0.0929185675642941,0.0422055820285908,0.0347835943551282,0.1677422775146674
frozenset({'Appliances'}),frozenset({'Binders'}),0.0900379317228987,0.2627270912357756,0.0259532840886404,0.2882483370288248,1.0971397569736956,1.0,0.0022978801861978,1.0358569528120412,0.0972997603537313,0.0794135613927916,0.0346157379305127,0.1935162657788501
"frozenset({'Furnishings', 'Paper'})",frozenset({'Binders'}),0.0353363944899181,0.2627270912357756,0.0101816729886204,0.288135593220339,1.0967106279944363,1.0,0.0008978448495244,1.035692895644982,0.0914126412154266,0.0353675450762829,0.0344628178826639,0.1634446963062181
"frozenset({'Furnishings', 'Binders'})",frozenset({'Paper'}),0.0395288480734677,0.2377720103813136,0.0101816729886204,0.2575757575757575,1.0832888074701676,1.0,0.0007828193141345,1.026674434996598,0.0800493966033722,0.0381165919282511,0.0259813959394891,0.1501984581329669
frozenset({'Appliances'}),frozenset({'Paper'}),0.0900379317228987,0.2377720103813136,0.0217608305050908,0.2416851441241685,1.0164575037094543,1.0,0.0003523304687617,1.0051603020994957,0.0177930928984626,0.0711024135681669,0.0051338100885175,0.1666024377211942
