support,itemsets,Length
0.14334198442802953,frozenset({'Accessories'}),1
0.09003793172289878,frozenset({'Appliances'}),1
0.1459373128368936,frozenset({'Art'}),1
0.2627270912357756,frozenset({'Binders'}),1
0.044719504891195846,frozenset({'Bookcases'}),1
0.11499301257736075,frozenset({'Chairs'}),1
0.01357556398482731,frozenset({'Copiers'}),1
0.04971052106208824,frozenset({'Envelopes'}),1
0.04292273906967459,frozenset({'Fasteners'}),1
0.17508484727490517,frozenset({'Furnishings'}),1
0.06907566380515073,frozenset({'Labels'}),1
0.022359752445597923,frozenset({'Machines'}),1
0.23777201038131363,frozenset({'Paper'}),1
0.16250748652425634,frozenset({'Phones'}),1
0.1551207825913356,frozenset({'Storage'}),1
0.037332800958275104,frozenset({'Supplies'}),1
0.0612896785785586,frozenset({'Tables'}),1
0.011978438810141745,"frozenset({'Appliances', 'Accessories'})",2
0.017768017568376922,"frozenset({'Accessories', 'Art'})",2
0.032142144140547016,"frozenset({'Accessories', 'Binders'})",2
0.012777001397484528,"frozenset({'Chairs', 'Accessories'})",2
0.02295867438610501,"frozenset({'Furnishings', 'Accessories'})",2
0.03054501896586145,"frozenset({'Accessories', 'Paper'})",2
0.023158315032940708,"frozenset({'Accessories', 'Phones'})",2
0.020562986624076664,"frozenset({'Accessories', 'Storage'})",2
0.01177879816330605,"frozenset({'Appliances', 'Art'})",2
0.025953284088640446,"frozenset({'Appliances', 'Binders'})",2
0.01597125174685566,"frozenset({'Furnishings', 'Appliances'})",2
0.021760830505090836,"frozenset({'Appliances', 'Paper'})",2
0.015172689159512876,"frozenset({'Appliances', 'Phones'})",2
0.011179876222798962,"frozenset({'Appliances', 'Storage'})",2
0.029946097025354362,"frozenset({'Binders', 'Art'})",2
0.01637053304052705,"frozenset({'Chairs', 'Art'})",2
0.019964064683569576,"frozenset({'Furnishings', 'Art'})",2
0.029946097025354362,"frozenset({'Paper', 'Art'})",2
0.024755440207626274,"frozenset({'Phones', 'Art'})",2
0.019964064683569576,"frozenset({'Storage', 'Art'})",2
0.011179876222798962,"frozenset({'Bookcases', 'Binders'})",2
0.023757236973447796,"frozenset({'Chairs', 'Binders'})",2
0.010780594929127571,"frozenset({'Envelopes', 'Binders'})",2
0.012377720103813137,"frozenset({'Fasteners', 'Binders'})",2
0.03952884807346776,"frozenset({'Furnishings', 'Binders'})",2
0.01637053304052705,"frozenset({'Labels', 'Binders'})",2
0.05490117787981633,"frozenset({'Paper', 'Binders'})",2
0.039728488720303455,"frozenset({'Phones', 'Binders'})",2
0.039728488720303455,"frozenset({'Storage', 'Binders'})",2
0.014174485925334398,"frozenset({'Tables', 'Binders'})",2
0.01976442403673388,"frozenset({'Furnishings', 'Chairs'})",2
0.026552206029147533,"frozenset({'Chairs', 'Paper'})",2
0.017768017568376922,"frozenset({'Chairs', 'Phones'})",2
0.016570173687362747,"frozenset({'Chairs', 'Storage'})",2
0.011379516869634657,"frozenset({'Envelopes', 'Paper'})",2
0.01177879816330605,"frozenset({'Paper', 'Fasteners'})",2
0.011379516869634657,"frozenset({'Furnishings', 'Labels'})",2
0.03533639448991815,"frozenset({'Furnishings', 'Paper'})",2
0.02954681573168297,"frozenset({'Furnishings', 'Phones'})",2
0.02755040926332601,"frozenset({'Furnishings', 'Storage'})",2
0.01597125174685566,"frozenset({'Labels', 'Paper'})",2
0.011579157516470354,"frozenset({'Labels', 'Phones'})",2
0.01217807945697744,"frozenset({'Labels', 'Storage'})",2
0.034937113196246754,"frozenset({'Phones', 'Paper'})",2
0.035536035136753845,"frozenset({'Storage', 'Paper'})",2
0.010780594929127571,"frozenset({'Paper', 'Tables'})",2
0.0233579556797764,"frozenset({'Storage', 'Phones'})",2
0.010381313635456179,"frozenset({'Phones', 'Tables'})",2
0.010181672988620483,"frozenset({'Furnishings', 'Paper', 'Binders'})",3
0.010780594929127571,"frozenset({'Phones', 'Paper', 'Binders'})",3
0.010580954282291874,"frozenset({'Storage', 'Paper', 'Binders'})",3
